file,id,translation_id,word_id,yoruba_text,english_text,reason,translation,confidence
scraped_data\all_yoruba_words_examples.csv,34,3.0,2,(b) Kí ni ẹ̀jẹ́ tí Jèhófà ṣì má a san fún à wọn èèyà n rẹ̀,(b) Àwọn ìbéèrè pàtàkì wo ni a lè béèrè?(b) What pertinent questions may beasked? jw2019,English text contains Yoruba characters,,
scraped_data\all_yoruba_words_examples.csv,35,3.0,2,(b) What commitment does Jehovah still have with regard to his people,(b) Àwọn ìbéèrè pàtàkì wo ni a lè béèrè?(b) What pertinent questions may beasked? jw2019,English text contains Yoruba characters,,
scraped_data\all_yoruba_words_examples.csv,38,,2,(b) Ìmọ̀rà n tí ó bá à kókò mu wo ni aposteli Paulu fún à wọn Kristian ní Jerusalemu,(b) Kí ló ń múnú Jèhófà dùn láìka ohun tó ń ṣẹlẹ̀ láyé?(b) What contrast does Jehovah see when he observes today’s world? jw2019,English text contains Yoruba characters,,
scraped_data\all_yoruba_words_examples.csv,39,,2,(b) What timely advice did the apostle Paul give to the Christians in Jerusalem,(b) Kí ló ń múnú Jèhófà dùn láìka ohun tó ń ṣẹlẹ̀ láyé?(b) What contrast does Jehovah see when he observes today’s world? jw2019,English text contains Yoruba characters,,
scraped_data\all_yoruba_words_examples.csv,42,,2,(b) Kí ló túmọ̀ sí lati má ṣe fi ìmọ́lẹ̀ wa pamọ́ sá bẹ́ “apẹ̀rẹ̀ ìdíwọ̀n”,(b) Ọ̀nà wo ni Sọ́ọ̀lù gbà ṣe inúnibíni sí Dáfídì?(b) What methods did Saul use to persecute David? jw2019,English text contains Yoruba characters,,
scraped_data\all_yoruba_words_examples.csv,43,,2,(b) How is it that we do not hide spiritual light under a “measuring basket”,(b) Ọ̀nà wo ni Sọ́ọ̀lù gbà ṣe inúnibíni sí Dáfídì?(b) What methods did Saul use to persecute David? jw2019,English text contains Yoruba characters,,
scraped_data\all_yoruba_words_examples.csv,48,,2,(b) Bá wo ló ṣe jọ pé wọ́n má a yí à fiyèsí sí “ẹgbẹ́ ọmọ ogun ibi gíga” lẹ́yìn “ọjọ́ púpọ̀ yanturu”,(b) Báwo ni Bíbélì ṣe ṣàpèjúwe ìkójọpọ̀ yìí?(b) How does the Bible describe this ingathering? jw2019,English text contains Yoruba characters,,
scraped_data\all_yoruba_words_examples.csv,49,,2,"(b) Likely, how will “the army of the height” be given attention “after an abundance of days”",(b) Báwo ni Bíbélì ṣe ṣàpèjúwe ìkójọpọ̀ yìí?(b) How does the Bible describe this ingathering? jw2019,English text contains Yoruba characters,,
scraped_data\all_yoruba_words_examples.csv,52,,2,(b) Ẹ̀kọ́ à ríkọ́gbọ́n wo tí ó wémọ́ ìgboyà ni a kọ́ lá ra Joṣua à ti Kalebu,(b) Ipo wo ni awọn opitan ti kii ṣe Kristẹni fifun Jesu?(b) What place in history does a non-Christian historian give to Jesus? jw2019,English text contains Yoruba characters,,
scraped_data\all_yoruba_words_examples.csv,53,,2,(b) What lesson involving courage do we learn from Joshua and Caleb,(b) Ipo wo ni awọn opitan ti kii ṣe Kristẹni fifun Jesu?(b) What place in history does a non-Christian historian give to Jesus? jw2019,English text contains Yoruba characters,,
scraped_data\all_yoruba_words_examples.csv,56,,2,(b) Kí ni ó yẹ kí ó jẹ́ ète ìsúnniṣe wa ní yíyan à fikún ìmọ̀ ẹ̀kọ́ nígbà tí ó bá dà bíi pé ó pọn dandan,(b) Báwo ni Jésù ṣe kọ́ àwọn àpọ́sítélì rẹ̀ lẹ́kọ̀ọ́ lórí ìwà ìrẹ̀lẹ̀?(b) How did Jesus teach his apostles a lesson in humility? jw2019,English text contains Yoruba characters,,
scraped_data\all_yoruba_words_examples.csv,57,,2,(b) What should be our motive in choosing further education when that may appear necessary,(b) Báwo ni Jésù ṣe kọ́ àwọn àpọ́sítélì rẹ̀ lẹ́kọ̀ọ́ lórí ìwà ìrẹ̀lẹ̀?(b) How did Jesus teach his apostles a lesson in humility? jw2019,English text contains Yoruba characters,,
scraped_data\all_yoruba_words_examples.csv,59,,2,(b) Bá wo ni Jésù ṣe kọ́ à wọn à pọ́sítélì rẹ̀ lẹ́kọ̀ọ́ lórí ìwà ìrẹ̀lẹ̀,"(b) Tá a bá sọ pé Kristẹni kan dàgbà dénú, kí ló túmọ̀ sí?(b) What does it mean for a Christian to be mature? jw2019",English text contains Yoruba characters,,
scraped_data\all_yoruba_words_examples.csv,65,,2,(b) Kí là wọn ẹ̀ka iléeṣẹ́ kan sọ nípa à wọn tó ti ilẹ̀ òkèèrè wá sìn ní ìpínlẹ̀ tá wọn ẹ̀ka ná à ń bójú tó,(b) Awọn idi wo fun ayọ ni awọn ọmọ-ẹhin Jesu ni?(b) What reasons for happiness did Jesus’ disciples have? jw2019,English text contains Yoruba characters,,
scraped_data\all_yoruba_words_examples.csv,66,,2,(b) What did some branch offices say about those from abroad who serve in the branch territo ry,(b) Awọn idi wo fun ayọ ni awọn ọmọ-ẹhin Jesu ni?(b) What reasons for happiness did Jesus’ disciples have? jw2019,English text contains Yoruba characters,,
scraped_data\all_yoruba_words_examples.csv,68,,2,(b) Awọn idi wo fun ayọ ni awọn ọmọ-ẹhin Jesu ni,(b) Èéṣe tí Jehofa fi yọ̀ǹda kí Jesu kú?(b) Why did Jehovah allow Jesus to die? jw2019,English text contains Yoruba characters,,
